29418,0.2877,0.5705
29270,0.2882,0.6335
29323,0.2889,0.6209
29372,0.2925,0.6128
29382,0.2902,0.6300
29410,0.2891,0.6195
29371,0.2914,0.6150
29431,0.2916,0.6230
29458,0.2883,0.6244
29394,0.2912,0.6345
29174,0.2897,0.6271
29316,0.2935,0.6327
29231,0.2923,0.6350
29191,0.2915,0.6219
29470,0.2912,0.6148
29430,0.2906,0.6211
29390,0.2921,0.6186
29327,0.2895,0.6154
29456,0.2908,0.6270
29317,0.2897,0.6555
29361,0.2935,0.6232
29382,0.2906,0.6181
29432,0.2911,0.6182
29372,0.2897,0.6323
29447,0.2911,0.6233
29379,0.2931,0.6182
29395,0.2967,0.6406
29342,0.2920,0.6371
29384,0.2936,0.6322
29405,0.2921,0.6284
29324,0.2952,0.6392
29183,0.2953,0.6616
29219,0.2998,0.6422
29387,0.2964,0.6453
29424,0.2911,0.6111
29413,0.2910,0.6168
29404,0.2900,0.6346
29393,0.2909,0.6321
29442,0.2887,0.6193
29331,0.2932,0.6177
29350,0.2902,0.6394
29406,0.2935,0.6367
29420,0.2927,0.6163
29424,0.2936,0.6212
29436,0.2907,0.6150
29423,0.2923,0.6307
29372,0.2900,0.6449
29369,0.2925,0.6316
29386,0.2912,0.6375
29347,0.2913,0.6315
29387,0.2922,0.6195
29370,0.2924,0.6306
29250,0.2925,0.6321
29615,0.2951,0.6496
28812,0.2967,0.6340
29420,0.2928,0.6047
29348,0.2909,0.6317
29381,0.2899,0.6355
29230,0.2894,0.6246
29356,0.2891,0.6251
29360,0.2910,0.6297
29371,0.2925,0.6371
29127,0.4107,0.6197
28848,0.4128,0.7388
29011,0.4082,0.6888
29070,0.4062,0.6623
29007,0.4088,0.6876
29050,0.4055,0.6682
29485,0.4042,0.5624
29011,0.4088,0.6789
29005,0.4041,0.6838
29012,0.4047,0.7179
28998,0.4050,0.6737
29066,0.4057,0.6711
29003,0.4062,0.6737
28972,0.4062,0.7088
29047,0.4071,0.6908
28988,0.4057,0.6942
29047,0.4056,0.7012
28961,0.4066,0.6797
29020,0.4064,0.6888
29002,0.4059,0.7232
29144,0.4037,0.6758
29182,0.4063,0.6734
29372,0.4068,0.5872
28990,0.4097,0.6868
29039,0.4070,0.6714
29068,0.4075,0.6837
29030,0.4086,0.6483
29032,0.4087,0.6833
29064,0.4074,0.6380
28995,0.4076,0.7222
28889,0.4126,0.6589
28919,0.4079,0.7056
28973,0.4053,0.6927
29090,0.4078,0.6465
29018,0.4091,0.6808
29222,0.4032,0.6556
29326,0.4074,0.5739
28930,0.4062,0.6569
29047,0.4065,0.6920
29046,0.4065,0.6692
29025,0.4086,0.6547
28966,0.4062,0.7320
28982,0.4058,0.6920
29005,0.4074,0.6932
29066,0.4068,0.6762
