SYS,F_median,F_p99,G_median,G_p99,H_median,H_p99
TiDB-PD,0.1482,0.2110,0.9939,1.1497,1.4435,1.5562
TaaS,1.4517,2.1806,1.1307,1.2649,1.1947,1.4015
